property_type_id,propertyType,zoning,bedrooms,bathrooms,squareFootage,lotSize,ownerOccupied
299,Condo,Unknown,0.0,0.0,1342.0,3395.0,1.0
300,Single Family,Unknown,3.0,1.0,925.0,10990.0,1.0
301,Single Family,Unknown,4.0,2.5,2363.0,7068.0,1.0
302,Single Family,Unknown,3.0,3.0,1582.0,8050.0,1.0
303,Condo,PUD,3.0,2.0,1421.0,435.0,1.0
304,Single Family,"0100:SINGLE FAM,GENERAL",2.0,1.0,1136.0,6612.0,0.0
305,Condo,R-1:SINGLE FAM-RES,3.0,2.0,950.0,12487.0,1.0
306,Manufactured,Unknown,0.0,0.0,0.0,87120.0,1.0
307,Single Family,PUD,3.0,0.0,2098.0,9891.0,1.0
308,Land,Unknown,0.0,0.0,0.0,1742400.0,0.0
309,Single Family,RSF2,3.0,2.0,1520.0,8545.0,0.0
310,Single Family,Unknown,3.0,2.0,1689.0,12001.0,1.0
311,Single Family,Unknown,0.0,3.0,2064.0,2614.0,0.0
312,Single Family,R2 SFR,0.0,1.5,2776.0,8451.0,1.0
313,Single Family,Unknown,3.0,2.0,1929.0,0.0,1.0
314,Single Family,LCR108,4.0,3.0,2561.0,7316.0,1.0
315,Single Family,Unknown,3.0,2.0,1928.0,325829.0,0.0
316,Duplex-Triplex,RA2,5.0,2.5,3324.0,48787.0,1.0
317,Single Family,Unknown,3.0,2.0,972.0,6534.0,1.0
318,Single Family,R-6,2.0,2.0,1147.0,6656.0,1.0
319,Condo,Unknown,0.0,0.0,0.0,0.0,1.0
320,Single Family,RS9,4.0,2.5,2988.0,10019.0,1.0
321,Single Family,A,0.0,0.0,0.0,18208.0,1.0
322,Single Family,Unknown,3.0,1.0,1348.0,9583.0,0.0
323,Single Family,24R4,4.0,2.0,1344.0,7523.0,0.0
324,Single Family,R1,3.0,1.0,1247.0,8146.0,1.0
325,Condo,"4900:MULTI-FAM,CONDOMINUM",1.0,1.0,674.0,0.0,0.0
326,Single Family,Unknown,4.0,3.0,2423.0,3485.0,0.0
327,Single Family,Unknown,3.0,1.5,1580.0,2169.0,1.0
328,Single Family,20-RA,4.0,2.5,3473.0,19200.0,1.0
329,Single Family,RS2,4.0,3.0,3443.0,9365.0,1.0
330,Single Family,Unknown,0.0,0.0,2882.0,8276.0,1.0
331,Single Family,Unknown,3.0,2.5,2431.0,128066.0,0.0
332,Single Family,R-1AAAA,4.0,2.0,2301.0,0.0,0.0
333,Single Family,Unknown,2.0,0.0,780.0,11238.0,0.0
334,Condo,"4500:MULTI-FAMILY,4 STORY",2.0,2.0,1095.0,0.0,1.0
335,Condo,M-1A,3.0,2.0,1467.0,11500.0,0.0
336,Single Family,Unknown,0.0,0.0,0.0,5000.0,1.0
337,Single Family,Unknown,0.0,2.0,1137.0,7057.0,0.0
338,Single Family,R-3,3.0,1.0,1060.0,5820.0,0.0
339,Single Family,Unknown,4.0,5.0,0.0,5227.0,0.0
340,Condo,Unknown,2.0,2.0,875.0,0.0,0.0
341,Single Family,PD,3.0,2.0,1443.0,6982.0,1.0
